City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,73.31,overcast clouds,-23.1203,-134.9692,People ThankYou
12,Ugoofaaru,MV,81.86,overcast clouds,5.6667,73.0,Ungoofaaru Inn
13,Atuona,PF,77.34,few clouds,-9.8,-139.0333,Villa Enata
14,Souillac,MU,77.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
27,Bengkulu,ID,75.99,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
30,Vao,NC,75.45,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
31,Hithadhoo,MV,82.11,scattered clouds,-0.6,73.0833,Scoop Guest House
32,Hermanus,ZA,75.79,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
35,Puerto Escondido,MX,83.82,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
36,Puri,IN,75.72,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
39,Bredasdorp,ZA,75.27,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
44,Cape Town,ZA,75.11,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
45,Faanui,PF,73.92,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
46,Tiarei,PF,73.42,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
50,Copiapo,CL,80.94,clear sky,-27.3667,-70.3333,San Francisco de La Selva
57,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
58,Arraial Do Cabo,BR,75.06,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
59,Nabire,ID,74.03,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
64,Paita,PE,70.02,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
67,Kirakira,SB,79.9,scattered clouds,-10.4544,161.9205,SanBiz Lodge
69,Hilo,US,81.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
70,Victoria,HK,71.58,scattered clouds,22.2855,114.1577,Mini Hotel Central
73,Namibe,AO,72.57,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
74,Chanasma,IN,73.49,clear sky,23.7167,72.1167,Shree Bhateva Bhavan Dharamshala
79,Alamogordo,US,71.44,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
93,Cordoba,AR,77.59,clear sky,-31.4135,-64.1811,Hotel Sussex
94,Wanning,CN,73.71,overcast clouds,18.8003,110.3967,Paradise Hotel
95,Awbari,LY,77.02,scattered clouds,26.5921,12.7805,فندق أوباري
98,Poum,NC,78.8,scattered clouds,-20.2333,164.0167,Gîte kajeon
101,Santa Rosa,PH,83.1,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
103,Montepuez,MZ,84.33,broken clouds,-13.1256,38.9997,PembaAparthotel
105,Micheweni,TZ,80.42,broken clouds,-4.9667,39.8333,
108,Kavaratti,IN,79.72,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
109,Lata,PT,70.48,clear sky,40.1629,-8.3327,Casa Maquia
110,Kapaa,US,73.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
112,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
114,Dingle,PH,75.99,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
117,Santa Cruz,BO,82.45,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
118,Port Elizabeth,ZA,70.11,overcast clouds,-33.918,25.5701,39 On Nile Guest House
119,Bambous Virieux,MU,77.22,overcast clouds,-20.3428,57.7575,Casa Tia Villa
125,Pantai Remis,MY,78.37,overcast clouds,4.4557,100.6288,Leisure Homestay
126,Zhuhai,CN,71.31,clear sky,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
129,Kuppam,IN,70.68,overcast clouds,12.75,78.3667,Bairiganipall Syamaraj Tiffin Center
133,Cabo San Lucas,MX,82.71,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
134,Manggar,ID,80.13,overcast clouds,-2.8833,108.2667,Guest Hotel
135,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
140,Isangel,VU,75.15,clear sky,-19.55,169.2667,Tanna Lodge
148,Cidreira,BR,72.52,clear sky,-30.1811,-50.2056,Hotel Castelo
149,Amahai,ID,78.8,heavy intensity rain,-3.3333,128.9167,HOTEL ISABELA
151,Elat,IL,75.79,scattered clouds,29.5581,34.9482,Club Hotel Eilat
